transaction_id,fraud_probability,risk_level,triggered_rules,final_decision,explanation,scored_at,label_is_fraud,fraud_type
9bc59473-7f41-4060-a3d0-d0f02debaad8,0.0017,LOW,,ALLOW,Key factors: occurring at an hour unusual for this sender; amount is 2.7 standard deviations above the sender's usual amount. Model fraud probability: 0.2%.,2026-08-30T07:14:01.925972+00:00,False,
8483be82-624c-4ce2-aa97-3223144722f8,0.793,HIGH,,REVIEW,Key factors: occurring at an hour unusual for this sender; first transaction to this receiver. Model fraud probability: 79.3%.,2026-08-30T07:14:01.925972+00:00,False,
b8e0c33d-da15-465c-b2f8-e11ee24b9a4a,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
ed1f96d7-2d87-4701-8cf1-cd7b6c0adea7,0.0035,LOW,,ALLOW,Key factors: occurring at an hour unusual for this sender. Model fraud probability: 0.4%.,2026-08-30T07:14:01.925972+00:00,False,
03a4ae01-3b7a-40cd-8536-cf2457d27ae0,0.9929,CRITICAL,NEW_DEVICE_AND_LOCATION,BLOCK,Key factors: new device and new location at the same time; first transaction to this receiver. Rules triggered: NEW_DEVICE_AND_LOCATION. Model fraud probability: 99.3%.,2026-08-30T07:14:01.925972+00:00,True,unusual_geo_device
ea7830c8-5e6f-4b11-9513-11f7c1aeab67,0.0016,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.2%).,2026-08-30T07:14:01.925972+00:00,False,
59f9b502-4d2c-4a15-a9b8-036307413919,0.0011,LOW,,ALLOW,Key factors: occurring at an hour unusual for this sender. Model fraud probability: 0.1%.,2026-08-30T07:14:01.925972+00:00,False,
48fa8c0d-1060-4040-9ca3-96d70c854fe5,0.0575,LOW,,ALLOW,Key factors: first transaction to this receiver. Model fraud probability: 5.8%.,2026-08-30T07:14:01.925972+00:00,False,
69443f7b-4d06-4bb5-821f-494609f2223f,0.0005,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
bd64fe4b-3960-4fb7-a9cb-e5f6b8b8c947,0.0003,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
ed1b328a-b60b-431c-b752-f58a30d3b553,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
